timestamp,peso_g
2026-05-06 19:52:36.182812,-0.62
2026-05-06 19:52:37.184458,-1.62
2026-05-06 19:52:38.185345,-1.76
2026-05-06 19:52:39.186001,-1.85
2026-05-06 19:52:40.186760,-1.87
2026-05-06 19:52:41.187456,-2.01
2026-05-06 19:52:42.188154,-2.18
2026-05-06 19:52:43.189137,-2.22
2026-05-06 19:52:44.190064,-2.29
2026-05-06 19:52:45.190601,-2.42
2026-05-06 19:52:46.191266,-2.52
2026-05-06 19:52:47.192111,-2.57
2026-05-06 19:52:48.192959,-2.76
2026-05-06 19:52:49.193549,-2.84
2026-05-06 19:52:50.194525,-2.91
2026-05-06 19:52:51.195439,-2.94
2026-05-06 19:52:52.196141,-3.08
2026-05-06 19:52:53.196941,-3.24
2026-05-06 19:52:54.197742,-3.29
2026-05-06 19:52:55.198674,-3.37
2026-05-06 19:52:56.199565,-3.54
2026-05-06 19:52:57.200147,-3.61
2026-05-06 19:52:58.200806,-3.62
2026-05-06 19:52:59.201466,-3.81
2026-05-06 19:53:00.202191,-3.87
2026-05-06 19:53:01.203043,-3.97
2026-05-06 19:53:02.203988,-4.07
2026-05-06 19:53:03.204847,-4.12
2026-05-06 19:53:04.205411,6.95
2026-05-06 19:53:05.206298,-4.28
2026-05-06 19:53:06.207172,-4.52
2026-05-06 19:53:07.207873,-4.61
2026-05-06 19:53:08.208629,-4.64
2026-05-06 19:53:09.209474,-4.74
2026-05-06 19:53:10.210392,-4.9
2026-05-06 19:53:11.210996,-4.97
2026-05-06 19:53:12.211890,-5.01
2026-05-06 19:53:13.212732,-5.18
2026-05-06 19:53:14.213632,-5.18
2026-05-06 19:53:15.214430,-5.3
2026-05-06 19:53:16.215250,-5.4
2026-05-06 19:53:17.215677,-5.48
2026-05-06 19:53:18.216568,-5.61
2026-05-06 19:53:19.217090,-5.73
2026-05-06 19:53:20.218105,-5.83
2026-05-06 19:53:21.219081,-5.9
2026-05-06 19:53:22.219936,-5.97
2026-05-06 19:53:23.220857,-6.06
2026-05-06 19:53:24.221481,-6.28
2026-05-06 19:53:25.222389,-6.28
2026-05-06 19:53:26.223172,-6.38
2026-05-06 19:53:27.223815,-6.46
2026-05-06 19:53:28.224393,-6.54
2026-05-06 19:53:29.225045,-6.66
2026-05-06 19:53:30.225669,-6.77
2026-05-06 19:53:31.226275,-6.86
2026-05-06 19:53:32.226816,-6.93
2026-05-06 19:53:33.227463,-7.02
2026-05-06 19:53:34.228220,-7.09
2026-05-06 19:53:35.228936,-7.21
2026-05-06 19:53:36.229537,-7.3
2026-05-06 19:53:37.230502,-7.36
2026-05-06 19:53:38.231022,-7.49
2026-05-06 19:53:39.232025,-7.56
2026-05-06 19:53:40.232557,-7.67
2026-05-06 19:53:41.233144,-7.72
2026-05-06 19:53:42.233990,-7.84
2026-05-06 19:53:43.234941,-7.87
2026-05-06 19:53:44.235535,-8.01
2026-05-06 19:53:45.236078,-8.13
2026-05-06 19:53:46.237119,-8.2
2026-05-06 19:53:47.237853,-8.31
2026-05-06 19:53:48.238527,-8.38
2026-05-06 19:53:49.239435,-12.95
2026-05-06 19:53:50.240081,-7.62
2026-05-06 19:53:51.240624,-9.41
2026-05-06 19:53:52.241514,-8.81
2026-05-06 19:53:53.242114,-8.87
2026-05-06 19:53:54.242883,-8.99
2026-05-06 19:53:55.243793,-9.05
2026-05-06 19:53:56.244485,-9.09
2026-05-06 19:53:57.245121,-9.2
2026-05-06 19:53:58.245747,-9.32
2026-05-06 19:53:59.246713,-9.37
2026-05-06 19:54:00.247424,-9.49
2026-05-06 19:54:01.248402,-9.58
2026-05-06 19:54:02.249502,-9.71
2026-05-06 19:54:03.250205,-9.73
2026-05-06 19:54:04.250739,-9.83
2026-05-06 19:54:05.251755,-9.95
2026-05-06 19:54:06.252563,-10.03
2026-05-06 19:54:07.253335,-10.12
2026-05-06 19:54:08.254155,-10.22
2026-05-06 19:54:09.255162,-10.32
2026-05-06 19:54:10.256143,-10.38
2026-05-06 19:54:11.256837,-10.53
2026-05-06 19:54:12.257834,-10.58
2026-05-06 19:54:13.258566,-10.68
2026-05-06 19:54:14.259265,-10.79
2026-05-06 19:54:15.260215,-10.87
2026-05-06 19:54:16.260988,-10.94
2026-05-06 19:54:17.261588,-11.04
2026-05-06 19:54:18.262588,-11.13
2026-05-06 19:54:19.263151,-11.23
2026-05-06 19:54:20.263847,-11.29
2026-05-06 19:54:21.264736,-11.33
2026-05-06 19:54:22.265460,-11.44
2026-05-06 19:54:23.266272,-11.57
2026-05-06 19:54:24.267046,-11.65
2026-05-06 19:54:25.267852,-11.81
2026-05-06 19:54:26.268828,-11.86
2026-05-06 19:54:27.269652,-12.01
2026-05-06 19:54:28.270379,-11.45
2026-05-06 19:54:29.271248,-12.63
2026-05-06 19:54:30.272186,-12.22
2026-05-06 19:54:31.273079,-12.3
2026-05-06 19:54:32.274010,-12.44
2026-05-06 19:54:33.274941,-12.55
2026-05-06 19:54:34.275864,-12.61
2026-05-06 19:54:35.276719,-12.71
2026-05-06 19:54:36.277337,-12.86
2026-05-06 19:54:37.278191,-12.85
2026-05-06 19:54:38.278940,-13.02
2026-05-06 19:54:39.279484,-13.07
2026-05-06 19:54:40.280054,-13.19
2026-05-06 19:54:41.280778,-13.27
2026-05-06 19:54:42.281638,-13.37
2026-05-06 19:54:43.282443,-13.43
2026-05-06 19:54:44.283387,-13.59
2026-05-06 19:54:45.284325,-13.59
2026-05-06 19:54:46.285321,-13.71
2026-05-06 19:54:47.286208,-13.86
2026-05-06 19:54:48.287169,-13.86
2026-05-06 19:54:49.287963,-13.97
2026-05-06 19:54:50.288639,-14.08
2026-05-06 19:54:51.289449,-14.18
2026-05-06 19:54:52.290048,-14.23
2026-05-06 19:54:53.291000,-14.35
2026-05-06 19:54:54.291848,-14.59
2026-05-06 19:54:55.292395,-14.68
2026-05-06 19:54:56.293294,-14.7
2026-05-06 19:54:57.293852,-14.81
2026-05-06 19:54:58.294604,-14.82
2026-05-06 19:54:59.295127,-14.9
2026-05-06 19:55:00.295853,-15.0
2026-05-06 19:55:01.296344,-15.05
2026-05-06 19:55:02.296974,-15.14
2026-05-06 19:55:03.297876,-15.2
2026-05-06 19:55:04.298952,-15.32
2026-05-06 19:55:05.299691,-15.41
2026-05-06 19:55:06.300889,-15.54
2026-05-06 19:55:07.301630,-15.57
2026-05-06 19:55:08.302203,-15.65
2026-05-06 19:55:09.303145,-15.81
2026-05-06 19:55:10.303949,-15.87
2026-05-06 19:55:11.304533,-15.95
2026-05-06 19:55:12.305509,-16.09
2026-05-06 19:55:13.306411,-16.13
2026-05-06 19:55:14.307023,-16.23
2026-05-06 19:55:15.307677,-16.25
2026-05-06 19:55:16.308671,-16.45
2026-05-06 19:55:17.309517,-16.51
2026-05-06 19:55:18.310257,-16.56
2026-05-06 19:55:19.311144,-16.62
2026-05-06 19:55:20.311947,-16.76
2026-05-06 19:55:21.312876,-16.86
2026-05-06 19:55:22.313524,-16.94
2026-05-06 19:55:23.314149,-17.0
2026-05-06 19:55:24.315127,-17.12
2026-05-06 19:55:25.315939,-17.15
2026-05-06 19:55:26.316778,-17.24
2026-05-06 19:55:27.317207,-17.44
2026-05-06 19:55:28.318210,-17.44
2026-05-06 19:55:29.319181,-17.56
2026-05-06 19:55:30.319958,-17.61
2026-05-06 19:55:31.320777,-17.83
2026-05-06 19:55:32.321545,-17.82
2026-05-06 19:55:33.322177,-17.98
2026-05-06 19:55:34.322705,-18.05
2026-05-06 19:55:35.323429,-18.12
2026-05-06 19:55:36.323949,-18.26
2026-05-06 19:55:37.324652,-18.28
2026-05-06 19:55:38.325321,-18.44
2026-05-06 19:55:39.326192,-18.6
2026-05-06 19:55:40.326916,-18.71
2026-05-06 19:55:41.327650,-18.64
2026-05-06 19:55:42.328411,-18.83
2026-05-06 19:55:43.328945,-18.88
2026-05-06 19:55:44.329775,-18.86
2026-05-06 19:55:45.330332,-19.03
2026-05-06 19:55:46.331173,-19.14
2026-05-06 19:55:47.332217,-19.22
